Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Вертипорох,Зорян,Олегович,Чоловіча,08-11-1968,Музичний редактор,місто Бережани,"набережна Водопровідний 3-й, буд. 4, Ровеньки, 53075",+380 (78) 012-58-36,samoilenkomyroslav@example.net
Черінько,Христина,Романівна,Жіноча,19-10-1975,Ботанік,місто Охтирка,"набережна Локомотивна, буд. 39, Армянськ, 82351",227 76 05,maksymsahal@example.org
Єрьоменко,Алла,Євгенівна,Жіноча,03-02-2009,Математик,місто Суми,"площа Хутірський, буд. 617, Алупка, 32892",+380 46 148-91-67,demianchukievhen@example.net
Баклан,Орина,Сергіївна,Жіноча,12-10-1942,Кухар,місто Олешки,"сквер Лінія 46-та, буд. 15, Татарбунари, 29712",789 79 33,vievtushenko@example.org
Дашенко,Варфоломій,Максимович,Чоловіча,01-08-1962,Фізик,селище Білицьке,"вулиця Сливова, буд. 2, Шептицький, 86034",+380 92 204 99 24,trokhym38@example.com
Зінченко,Галина,Євгенівна,Жіноча,18-11-1997,Модельєр,селище Устилуг,"шосе Владислава Домбровського, буд. 3 кв. 14, Миргород, 42913",+380 29 586 89 26,bduplii@example.com
Ажажа,Сніжана,Сергіївна,Жіноча,06-11-1996,Флорист,селище Монастирище,"провулок Степна, буд. 18 кв. 70, Батурин, 65445",+380 (58) 390-00-56,fhohol@example.com
Гаврилишина,Одарка,Максимівна,Жіноча,01-04-1986,Біолог,місто Хрестівка,"шосе Бісквітний, буд. 1, Долинська, 81158",+380 73 376 74 10,mykhailosavenko@example.net
Саченко,Давид,Павлович,Чоловіча,17-08-2009,Футболіст,місто Тальне,"набережна Юрія Коваленка, буд. 66, Коростень, 20458",655 71 58,varvara20@example.org
Примаченко,Роксолана,Петрівна,Жіноча,11-05-1940,Головний меркшейдер,хутір Гірське,"площа Мелітопольська, буд. 973 кв. 4, Новий Буг, 02979",003 615 60 62,erika53@example.org
Артюшенко,Соломон,Володимирович,Чоловіча,10-06-1954,Реставратор,село Донецьк,"парк Восьмого березня 8-й, буд. 582, Світлодарськ, 84542",029 862-58-82,lubenetsleonid@example.org
Гупало,Клавдія,Петрівна,Жіноча,17-04-2002,Інженер,місто Івано-Франківськ,"проспект 19-та Лінія, буд. 162 кв. 395, Тетіїв, 90737",+380 33 579-10-06,tovstolisorkhyp@example.org
Мазур,Камілла,Сергіївна,Жіноча,25-06-1993,Режисер,місто Кагарлик,"парк Каберне, буд. 4 кв. 2, Токмак, 97455",+380 38 456 70 75,panas84@example.net
Павленко,Любов,Тарасівна,Жіноча,26-02-1959,Електрослюсар,місто Нове Давидково,"сквер Сергія Ейзенштейна, буд. 27 кв. 3, Кілія, 61899",+380 91 734-57-20,marko07@example.com
Фастенко,Борис,Максимович,Чоловіча,08-01-1995,Живописець,село Шаргород,"площа Садова 6-та, буд. 223 кв. 9, Берестечко, 03050",967 81 36,ieshchenkoolha@example.com
Хмара,Соломія,Борисівна,Жіноча,03-04-1977,Геолог,село Тростянець,"площа Юрія Асєєва, буд. 0 кв. 80, Українськ, 18391",380-81-86,bohdannaiushchenko@example.com
Єщенко,Владислав,Петрович,Чоловіча,30-05-1997,Прокурор,село Дунаївці,"провулок Берестейська, буд. 779, Деражня, 62907",+380 70 242-78-08,mdrobiazko@example.com
Артюшенко,Павло,Володимирович,Чоловіча,07-02-2005,Кіноактор,місто Сніжне,"узвіз Аркадійська, буд. 61, Фастів, 68750",090 052 17 25,mykhailynaokhrimenko@example.org
Єрьоменко,Віра,Павлівна,Жіноча,07-10-1973,Електрик,хутір Богуслав,"шосе Лузанівський, буд. 507, Євпаторія, 20937",900 79 16,fvanchenko@example.net
Сомко,Юстим,Григорович,Чоловіча,27-07-1969,Режисер,село Вишгород,"набережна Гоголя, буд. 028 кв. 9, Вовчанськ, 11997",+380 95 866-89-63,tetianaabrahamovskyi@example.net
Єрьоменко,Святослава,Максимівна,Жіноча,19-11-1957,Футболіст,місто Білицьке,"парк Дерибасівська, буд. 3, Липовець, 92153",701-13-89,iustym80@example.com
Давимука,Алевтин,Григорович,Чоловіча,22-03-1977,Модель,село Мостиська,"набережна Горбиста, буд. 48, Снігурівка, 87583",+380 (70) 553-89-26,varfolomii74@example.com
Свистун,Ілля,Михайлович,Чоловіча,04-02-1997,Соціолог,селище Берислав,"сквер Лузанівка, буд. 3 кв. 193, Іллінці, 96344",+380 37 218-92-65,suprunenkoveniiamyn@example.net
Кириленко,Феофан,Миколайович,Чоловіча,23-06-1998,Бухгалтер,селище Бахмач,"сквер Кастуся Калиновського, буд. 0 кв. 43, Мала Виска, 27628",+380 (23) 139-35-97,bohuslav82@example.org
Базилевич,Юхим,Олександрович,Чоловіча,16-08-1994,Географ,селище Старий Самбір,"проспект Хімічний 2-й, буд. 7, Жидачів, 12757",089 789-36-21,qdankevych@example.net
Засуха,Едуард,Борисович,Чоловіча,07-12-1963,Випробувач,село Дубно,"узвіз Банний, буд. 1, Зіньків, 77210",013 489 82 98,ztsushko@example.com
Єсипенко,Єва,Євгенівна,Жіноча,20-03-1945,Графік,село Калуш,"узвіз Костанді 3-й, буд. 23, Бунге, 38567",884 52 69,nestaikosemen@example.org
Василашко,Арсен,Миколайович,Чоловіча,13-05-1993,Дипломат,місто Свалява,"площа Маріупольська, буд. 998, Кролевець, 73354",863-93-14,ivan56@example.com
Фартушняк,Олександр,Борисович,Чоловіча,28-05-1949,Візажист,хутір Винники,"площа Юннатів 1-й, буд. 48, Лохвиця, 57573",061 912 16 54,hlibvashchuk@example.com
Зінкевич,Прохір,Володимирович,Чоловіча,03-01-1995,Біолог,хутір Костопіль,"площа Щіпний, буд. 275 кв. 26, Коростишів, 55704",+380 (83) 779-26-88,abrahamovskadan@example.org
Ільченко,Леопольд,Павлович,Чоловіча,14-05-1961,Стоматолог,хутір Буськ,"вулиця Бернардацці, буд. 56 кв. 60, Хмільник, 20232",+380 37 505 25 81,alinazabara@example.com
Шамрай,Олекса,Євгенович,Чоловіча,18-12-1977,Прокурор,селище Горішні Плавні,"шосе Лютеранський, буд. 771 кв. 52, Новий Калинів, 68594",019 701 88 29,omelianorlyk@example.net
Худобʼяк,Розалія,Михайлівна,Жіноча,05-03-1989,Палеонтолог,село Пологи,"сквер Лиманчик 2-й Лінія 4-та, буд. 1 кв. 185, Білицьке, 44165",006-46-62,tychynapriska@example.org
Авдєєнко,Едита,Степанівна,Жіноча,20-05-1973,Композитор,селище Ковель,"набережна Архітекторська, буд. 4 кв. 8, Вишгород, 49491",+380 (97) 998-10-97,hdubyna@example.com
Чуйко,Тимофій,Павлович,Чоловіча,31-07-1956,Астроном,селище Біла Церква,"сквер Астрономічний, буд. 5, Рубіжне, 80606",+380 (51) 800-03-05,ustymgerega@example.com
Сацюк,Богуслава,Олександрівна,Жіноча,28-10-1971,Модель,хутір Кам'янка (Черкаська область),"узвіз Цимлянська, буд. 416 кв. 06, Бунге, 56986",+380 66 631 18 98,rdatsenko@example.net
Дутка,Макар,Володимирович,Чоловіча,16-05-1958,Мовознавець,село Львів,"парк Санаторний, буд. 322 кв. 6, Гадяч, 33857",092 209-65-42,aaronmykytiuk@example.org
Жук,Василина,Михайлівна,Жіноча,05-10-1941,Громадський діяч,хутір Обухів,"набережна Інглезі, буд. 73, Енергодар, 33782",+380 00 868-79-49,xbabych@example.net
Чорновіл,Богуслава,Василівна,Жіноча,01-09-1940,М'ясник,хутір Овруч,"вулиця Павлова, буд. 5 кв. 3, Львів, 43972",684-87-46,bazylevychada@example.com
Тимчук,Роксолана,Олегівна,Жіноча,09-01-1950,Намотувальник,село Верхівцеве,"узвіз Ясна, буд. 87, Почаїв, 91129",+380 88 788-76-15,akymenkovolodymyr@example.net
